Company,Title,Location,URL,Source,Posted,First seen,Description,Match status
DCV Technologies,AI Engineer,"Farringdon, Central London",https://www.adzuna.co.uk/jobs/land/ad/5895176057?se=mO-Kime38RGEFfcsPVkEmw&utm_medium=api&utm_source=dc96cb17&v=890C14792B74ED0D596E90FCA060F6ABC6720D92,adzuna-api,2026-09-23,2026-09-23,"Position: AI Engineer (Building solutions with GitHub Copilot / Claude Code Experience)
Location: London, UK (Hybrid-3 days a week from office)
12 months contract position The Role We are seeking a highly skilled AI Engineer with hands-on experience in building AI-powered software solutions using GitHub Copilot, Claude Code, and modern Large Language Models (LLMs). The ideal candidate will leverage AI-assisted development tools to accelerate software delivery, automate engineering workflows, and build intelligent applications utilizing agentic AI frameworks, code generation, and enterprise AI platforms. The candidate should possess strong software engineering fundamentals along with expertise in integrating AI models into real-world applications and driving developer productivity through AI-assisted coding solutions. Your responsibilities: Design, develop, and deploy AI-powered applications using LLMs and Generative AI technologies. Build engineering solutions leveraging GitHub Copilot, Claude Code, OpenAI, Azure OpenAI, Anthropic Claude, and related AI platforms. Develop AI agents, copilots, and workflow automation solutions for enterprise use cases. Create retrieval-augmented generation (RAG) solutions using vector databases and knowledge repositories. Design and implement prompt engineering frameworks and evaluation mechanisms. Integrate AI services with enterprise applications using APIs, microservices, and cloud-native architectures. Build automated coding assistants, developer productivity tools, and intelligent software engineering workflows. Collaborate with business and technical stakeholders to identify AI-driven opportunities and translate them into scalable solutions. Establish best practices for AI governance, security, model monitoring, and responsible AI implementation. Mentor development teams on effective usage of AI-assisted development tools. Your Profile Essential skills/knowledge/experience: AI & Generative AI Strong experience with Large Language Models (LLMs) and Generative AI. * Hands-on experience with: * GitHub Copilot * Claude Code * OpenAI GPT Models * Azure OpenAI Services * Anthropic Claude APIs * Prompt Engineering and Prompt Optimization. * Agentic AI frameworks such as: * Lang Chain * Lang Graph * CrewAI * AutoGen * Semantic Kernel Software Development * Strong programming expertise in: * Python * JavaScript/TypeScript * C# or Java * Experience building RESTful APIs and microservices. * Knowledge of software design patterns and scalable application architecture. AI Application Development * Retrieval-Augmented Generation (RAG) * Vector databases: * Pinecone * ChromaDB * Weaviate * Azure AI Search * Embedding models and semantic search. * Model evaluation and observability. Desirable skills/knowledge/experience: Azure, AWS, or Google Cloud Platform. CI/CD pipelines using GitHub Actions, Azure DevOps, or Jenkins. Docker and Kubernetes. Infrastructure as Code (Terraform preferred)",top match
Emponics,AI Deployment Engineer,"Monument, Central London",https://www.adzuna.co.uk/jobs/land/ad/5894917693?se=mO-Kime38RGEFfcsPVkEmw&utm_medium=api&utm_source=dc96cb17&v=D929D320332AAA099E72E506E0F21CB37F94AD42,adzuna-api,2026-09-23,2026-09-23,"Our client is a Global FinTech with offices around the world inc Bristol and London in the UK .This AI Deployment Engineer role can be based out of Bristol or London offices.Ideally 3 days per week in the office but could be a little bit more flexible for the ideal candidate.

- AI Deployment Engineer
- Location: Bristol/London - Hybrid, 3 days in the office
- Salary: to £130,000 p/a dependent on experience + excellent benefits

You will be the deep technical engine behind their internal AI deployment team. Where the AI Deployment Strategist scopes and builds agents, you own the infrastructure underneath data pipelines, system integrations, and everything that ensures deployed AI solutions work reliably at scale.

You will take prototypes to production, ensure all business systems communicate correctly, and build the technical backbone that our AI tooling depends on.
Job Responsibilities
Own the data infrastructure underpinning AI deployments pipelines, storage, and data serving
Integrate AI solutions into the existing business ecosystem: CRMs, ERPs, SaaS tools, and internal systems
Build and maintain APIs, webhooks, and middleware that allow AI agents to interact with business systems
Take Strategist-built prototypes to production-grade hardening, scaling, and ensuring reliability
Set up monitoring, logging, and alerting across deployed pipelines and agent infrastructure
Manage data models, schemas, and storage supporting current and future AI deployments
Troubleshoot integration failures, data inconsistencies, and production issues
Key Skills
Python & SQL (production-grade pipeline development)
REST APIs, webhooks, OAuth, event-driven architecture
Orchestration tools: Airflow, Prefect, or Dagster
Cloud platforms: AWS, GCP, or Azure
Docker & Kubernetes Microsoft 365 & Microsoft Copilot
Desirable Skills
Vector databases and embedding pipelines
Real-time streaming (Kafka, Flink)
RPA tooling (UiPath, Power Automate) dbt for data transformation
Claude Code, Claude Cowork, or Claude Skills
Experience with vector databases, real-time streaming (Kafka, Flink), or RPA tooling (UiPath, Power Automate).
Experience
35 years in software or data engineering with strong exposure to system integrations, data pipelines, and production infrastructure.
Strong Python and SQL skills; experienced building robust, production-grade data pipelines from scratch.
Deep familiarity with integration patterns: REST APIs, webhooks, OAuth, and event-driven architectures.
Experience with orchestration tools (Airflow, Prefect, or Dagster) and transformation frameworks (dbt or similar).
Comfortable across cloud platforms (AWS, GCP, or Azure) and with containerisation (Docker, Kubernetes).
Experience connecting disparate business systems SaaS platforms, internal databases, and third-party APIs and making them work reliably.
Strong debugging instincts and a high bar for reliability and data integrity.
Comfortable with Microsoft 365 and Microsoft Copilot. Familiarity with AI productivity tools including Claude Code, Claude Cowork, and Claude Skills is a plus.
Qualifications
Bachelor's degree in Computer Science, Engineering, or equivalent practical experience",top match
Faculty AI,Lead Machine Learning Engineer,"London, UK",https://www.adzuna.co.uk/jobs/details/5895231407?utm_medium=api&utm_source=dc96cb17,adzuna-api,2026-09-23,2026-09-23,"Why Faculty? We established Faculty in 2014 because we thought that AI would be the most important technology of our time. Since then, we’ve worked with over 350 global customers to transform their performance through human-centric AI. You can read about our real-world impact here . We don’t chase hype cycles. We innovate, build and deploy responsible AI which moves the needle - and we know a thing or two about doing it well. We bring an unparalleled depth of technical, product and delivery exp…",top match
Google,"Forward Deployed Engineer III, Applied AI","Zürich, Switzerland · London, UK",https://www.google.com/about/careers/applications/jobs/results/106113082882695878-forward-deployed-engineer-iii-applied-ai,google-api,2026-09-23,2026-09-23,"Minimum qualifications: Bachelor’s degree or equivalent practical experience. 2 years of experience with software development in one or more programming languages (e.g., Python or C++). 2 years of experience with GenAI techniques (e.g., LLMs, Multi-Modal, Large Vision Models) or with GenAI-related concepts (language modeling, computer vision). 1 year of experience with AI/ML infrastructure (e.g., model deployment, model evaluation, model optimization, data processing, or debugging). Experience developing and deploying multilingual natural language processing models. Preferred qualifications: Master's degree or PhD in Computer Science, AI, Machine Learning, or a related technical field. Expertise in debugging Agent logic (ReAct loops, Chain of Thought) and optimizing tool selection. Experience implementing multi-agent systems using frameworks (e.g., LangGraph, CrewAI, or Google’s Agent Development Kit (ADK)) and complex patterns like ReAct, self-reflection, and hierarchical delegation. Experience connecting agents to enterprise knowledge bases and optimizing RAG chunking to prevent hallucinations. Bachelor’s degree or equivalent practical experience. 2 years of experience with software development in one or more programming languages (e.g., Python or C++). 2 years of experience with GenAI techniques (e.g., LLMs, Multi-Modal, Large Vision Models) or with GenAI-related concepts (language modeling, computer vision). 1 year of experience with AI/ML infrastructure (e.g., model deployment, model evaluation, model optimization, data processing, or debugging). Experience developing and deploying multilingual natural language processing models. Serve as the delivery lead for conversational AI pilots, taking initial proof-of-value code and refactoring it for production by replacing stubs with secure, real-world integrations. Own the delivery of the initial Customer User Journeys (CUJs), ensuring that conversational flows are not just functional, but optimized for (top customer/industry priorities). Architect and optimize complex agentic workloads, focusing on reasoning loops, tool selection, and reducing latency while maintaining production-grade security and networking. Implement critical infrastructure, including rate limiting, error management, and regional failover strategies; develop monitoring systems and alerting dashboards during ""Go-Live"" windows to ensure stability as traffic scales. Architect security perimeters (VPC, IAM, CMEK) to satisfy CISO requirements and optimize RAG strategies to balance latency, accuracy, and cost. Google's software engineers develop the next-generation technologies that change how billions of users connect, explore, and interact with information and one another. Our products need to handle information at massive scale, and extend well beyond web search. We're looking for engineers who bring fresh ideas from all areas, including information retrieval, distributed computing, large-scale system design, networking and data storage, security, artificial intelligence, natural language processing, UI design and mobile; the list goes on and is growing every day. As a software engineer, you will work on a specific project critical to Google’s needs with opportunities to switch teams and projects as you and our fast-paced business grow and evolve. We need our engineers to be versatile, display leadership qualities and be enthusiastic to take on new problems across the full-stack as we continue to push technology forward. As a Forward Deployed Engineer (FDE) in Applied AI, you are the ""Agent Engineer"" and the primary delivery arm for our customers' most critical AI initiatives. You will take initial conversational prototypes and transform them into production-ready solutions, owning the end-to-end engineering life-cycle. The Cloud Applied AI (AAI) powers business growth with Gemini Enterprise. Our portfolio includes Gemini Enterprise for Customer Experience (Shopping Agent, CX Agent Studio, Agent Assist, Vertex AI Search - Commerce, Customer Experience Insights), along with other vertical and domain packaged solutions. We enable high adoption and speed to value by building solutions that are quickly deployed, delivering new 0-to-1 capabilities with startup agility. Team members operate at the forefront of AI, collaborating directly with model builders with unprecedented speed. Join us to work on cutting-edge projects and shape the future of AI in a fast-paced, collaborative, and impactful environment.",top match
Hackajob Ltd,Data Scientist,"Norton, Sheffield",https://www.adzuna.co.uk/jobs/land/ad/5894413751?se=CN_TjGe38RG0s7xl9OR6fQ&utm_medium=api&utm_source=dc96cb17&v=95FFC76B71EE82F1DB83AE2E90354ECFA0C80BE3,adzuna-api,2026-09-23,2026-09-23,"hackajob is partnering directly with HSBC to hire for this role. If youre looking for a career that will help you stand out, join HSBC, and fulfil your potential - whether you want a career that could take you to the top, or an exciting new direction, we offer opportunities, support and rewards that will take you further. Were one of the largest banking and financial services organisations in the world, with a network that covers more than 50 countries and territories. We aim to be where the gr…",top match
Intec Select Ltd,Agentic Forward Deployed Engineer,"London, UK",https://www.adzuna.co.uk/jobs/land/ad/5895161683?se=kJ45j2e38RGEFfcsPVkEmw&utm_medium=api&utm_source=dc96cb17&v=986511B8347A1CE2AF243A2FD9F450A020171C20,adzuna-api,2026-09-23,2026-09-23,"Agentic Forward Deployed Engineer £550 to £650 per day outside IR 35 | 12 month contract Hybrid – Stratford, London | 2 Days Onsite per Week We are partnering with a large global education technology organisation operating across 100 countries, generating more than £600m in annual revenue and engaging with over 2.5 million users globally. The organisation is investing heavily in its next generation of AI-native, in-house products and is looking for an experienced Agentic Forward Deployed Engine…",top match
Lynx Recruitment Limited,Senior AI Engineering Consultant,"Manchester, Greater Manchester",https://www.adzuna.co.uk/jobs/land/ad/5894908137?se=UrmKiWe38RGSw_idrygsNg&utm_medium=api&utm_source=dc96cb17&v=690FAF4A49A9B0859C399957C8F7FCD42E147DA3,adzuna-api,2026-09-23,2026-09-23,"We're supporting a leading technology consultancy that is expanding its AI practice and is looking for a Senior AI Engineering Consultant to help deliver innovative AI-powered solutions for enterprise clients.
This is an opportunity to work at the forefront of Generative AI, partnering with organisations to design, build and deploy cutting-edge solutions across Azure, AWS and GCP.
We're looking for someone with a genuine passion for AI who combines strong consulting experience with a software engineering background and the ability to turn technical innovation into real business value.
The Role You'll work closely with clients to define AI strategies, build proof-of-concepts, develop scalable solutions and lead technical delivery across a range of AI and cloud projects.
Responsibilities will include:

- Designing and delivering Generative AI and Machine Learning solutions
- Building applications using LLMs, RAG frameworks and AI orchestration tools
- Working directly with clients to understand business challenges and define AI-driven solutions
- Leading architecture and engineering decisions across Azure, AWS and GCP
- Developing scalable, production-ready software solutions
- Implementing engineering best practices including CI/CD, testing and deployment automation
- Evaluating emerging AI technologies and identifying opportunities for innovation
- Mentoring engineers and providing technical leadership across project teams
- Supporting workshops, discovery sessions and technical pre-sales activities
What We're Looking ForEssential Requirements
- Proven experience working within an IT Consultancy, Technology Consultancy or Professional Services environment
- Strong hands-on experience with Generative AI and modern AI technologies
- Commercial experience building AI-powered applications and deploying them into production
- Software Engineering or Product Engineering background
- Strong Python development skills
- Experience working with LLMs, RAG architectures and modern AI frameworks
- Multi-cloud experience across Azure, AWS and GCP
- Strong understanding of cloud-native architectures and scalable application design
- Experience with CI/CD, Infrastructure as Code and automated deployment pipelines
- Excellent communication and stakeholder management skills
- Ability to engage with both technical and non-technical audiences
Education
- Degree in Computer Science, Software Engineering, Information Technology, Artificial Intelligence, Data Science, or a related technology discipline
- Minimum 2:1 degree classification (or equivalent)
Desirable
- Azure OpenAI, AWS Bedrock and Google Gemini experience
- MLOps, Data Engineering or Platform Engineering experience
- Experience leading technical teams
- Knowledge of Agentic AI, AI Agents and emerging AI frameworks
What's On Offer?
- Opportunity to work on high-profile AI transformation projects
- Exposure to the latest AI technologies and enterprise-scale environments
- Career progression into technical leadership and AI consulting roles
- Collaborative and innovation-focused culture
- Flexible hybrid working model
If you're passionate about AI, enjoy solving complex business problems and have a strong foundation in software engineering and cloud technologies, we'd love to hear from you.
Apply now or contact Paul Clarke at Lynx Recruitment for a confidential discussion.",medium match
OpenAI,"Applied AI Architect, Large Enterprise","London, UK",https://jobs.ashbyhq.com/openai/557dd2ec-db6c-49b1-a0aa-193007ebd5b6,ashby-api,2026-09-23,2026-09-23,"About the Team

The Applied AI Architect team partners with organizations to turn OpenAI's most capable models into meaningful, real-world impact. We work with customers across industries and digital-native businesses to identify where AI can create value, design secure and scalable solutions, and help those solutions move from early exploration into sustained production adoption. The team brings together technical strategy, customer partnership, and practical deployment expertise, working closely with Sales, Product, Engineering, Research, and specialist delivery teams.

About the Role

As an Applied AI Architect, you will be the senior technical owner for a named portfolio of customers and the primary technical counterpart to their leadership teams. You will act as the “CTO of your book of business”, shaping each customer's AI strategy and guiding their journey from pre-sales discovery and solution evaluation through deployment, adoption, and measurable business impact.

You will own the technical account plan across ChatGPT Enterprise, the OpenAI API, Codex, and other agentic AI solutions. In partnership with the Account Director, you will translate business priorities into a focused use-case portfolio, an actionable adoption roadmap, and a clear path to durable customer value and growth. The Account Director owns commercial strategy; you own the technical strategy, customer journey, and path to production value.

You will remain accountable for the technical outcome while bringing in the right specialists across deployment, implementation, enablement, security, product, and partners to provide deeper expertise and execute work where needed. This role calls for strong industry fluency, sound architectural judgment, and the ability to move confidently between executive strategy and hands-on technical conversations.

This role is based in our London office. We use a hybrid work model of 3 days in the office per week and offer relocation assistance to new employees.

In this role, you will:

- Serve as the primary technical advisor and long-term technical relationship owner for a named portfolio of existing customers and pre-sales prospects.

- Partner with Account Directors on account strategy while owning the technical account plan, technical milestones, adoption priorities, and expansion opportunities.

- Lead discovery with executives and technical teams to identify, qualify, and prioritize use cases tied to meaningful business outcomes.

- Develop clear Applied AI Architectures spanning models, applications, data, integration, security, privacy, governance, evaluation, and deployment.

- Guide customers through technical evaluations, demonstrations, workshops, prototypes, and proofs of value, securing confidence in both the solution and its path to production.

- Maintain a focused use-case portfolio with clear decision criteria, ownership, blockers, success measures, delivery needs, and adoption plans.

- Develop trusted relationships and technical champions across CTOs, CIOs, CISOs, AI leaders, engineering teams, and other customer stakeholders.

- Qualify and coordinate support from Deployment Engineering, implementation, training and enablement, product and domain specialists, partners, and other delivery teams.

- Remain accountable for technical progress and customer outcomes while ensuring delivery teams own implementation execution once engaged.

- Track adoption, usage, account health, production readiness, and measurable customer impact, intervening early when risks threaten value realization.

- Apply industry or digital-native expertise to recognize repeatable patterns, sharpen customer priorities, and identify relevant expansion opportunities.

- Share customer insights with Product, Engineering, and Research, translating field learnings into better products, architecture guidance, and reusable practices.

You might thrive in this role if you:

- Have significant experience in customer-facing technical roles such as solutions architecture, solutions engineering, technical account leadership, AI deployment, or technical customer success.

- Have guided enterprise organizations from technical evaluation through production adoption and measurable business impact.

- Build credibility with senior technical and business leaders while communicating equally well with hands-on engineers.

- Bring strong software and cloud architecture foundations, including APIs, distributed systems, data integration, identity, security, and privacy.

- Understand modern AI systems, frontier LLM models, agentic applications, model evaluation, retrieval, or enterprise AI workflows.

- Can prototype, explain technical tradeoffs, and work confidently with APIs, SDKs, and languages such as Python or JavaScript.

- Exercise sound judgment about when to go deep personally, when to involve specialists, and how to define clear handoffs and ownership.

- Have experience developing technical account plans, prioritizing complex customer portfolios, and connecting adoption to measurable outcomes.

- Bring meaningful expertise in a relevant industry or strong fluency with the needs of digital-native businesses.

- Communicate clearly and can turn ambiguity into a practical technical narrative, executive decision, or action plan.

- Work collaboratively across disciplines and care deeply about helping organizations deploy advanced AI responsibly.

About OpenAI

OpenAI is an AI research and deployment company dedicated to ensuring that general-purpose artificial intelligence benefits all of humanity. We push the boundaries of the capabilities of AI systems and seek to safely deploy them to the world through our products. AI is an extremely powerful tool that must be created with safety and human needs at its core, and to achieve our mission, we must encompass and value the many different perspectives, voices, and experiences that form the full spectrum of humanity.

We are an equal opportunity employer, and we do not discriminate on the basis of race, religion, color, national origin, sex, sexual orientation, age, veteran status, disability, genetic information, or other applicable legally protected characteristic.

For additional information, please see OpenAI’s Affirmative Action and Equal Employment Opportunity Policy Statement https://cdn.openai.com/policies/eeo-policy-statement.pdf.

Background checks for applicants will be administered in accordance with applicable law, and qualified applicants with arrest or conviction records will be considered for employment consistent with those laws, including the San Francisco Fair Chance Ordinance, the Los Angeles County Fair Chance Ordinance for Employers, and the California Fair Chance Act, for US-based candidates. For unincorporated Los Angeles County workers: we reasonably believe that criminal history may have a direct, adverse and negative relationship with the following job duties, potentially resulting in the withdrawal of a conditional offer of employment: protect computer hardware entrusted to you from theft, loss or damage; return all computer hardware in your possession (including the data contained therein) upon termination of employment or end of assignment; and maintain the confidentiality of proprietary, confidential, and non-public information. In addition, job duties require access to secure and protected information technology systems and related data security obligations.

To notify OpenAI that you believe this job posting is non-compliant, please submit a report through this form https://form.asana.com/?d=57018692298241&k=5MqR40fZd7jlxVUh5J-UeA. No response will be provided to inquiries unrelated to job posting compliance.

We are committed to providing reasonable accommodations to applicants with disabilities, and requests can be made via this link https://form.asana.com/?k=bQ7w9h3iexRlicUdWRiwvg&d=57018692298241.

OpenAI Global Applicant Privacy Policy https://cdn.openai.com/policies/global-employee-and-contractor-privacy-policy.pdf

At OpenAI, we believe artificial intelligence has the potential to help people solve immense global challenges, and we want the upside of AI to be widely shared. Join us in shaping the future of technology.",medium match
RELX,AI Architect,Farringdon,https://uk.indeed.com/viewjob?jk=1450896d963b4784,indeed,2026-09-23,2026-09-23,"Title: AI Architect
Company: RELX
Location: Farringdon
Date: 2026-09-23
Link: https://uk.indeed.com/jobs?q=AI+Engineer&l=United+Kingdom&radius=25&fromage=1&from=searchOnDesktopSerp&start=10&vjk=1450896d963b4784

---

AI Architect

Excited to uncover insights from complex data and turn them into impactful business decisions?

Do you enjoy building predictive models, experimenting with advanced analytics, and solving real-world challenges with data?

About the team:

LexisNexis Intellectual Property Solutions (LNIP) is the global leader in patent intelligence, bringing clarity to innovation for businesses, law firms, universities, and government agencies worldwide. Our mission is to help the innovation community make better decisions faster, with greater confidence, combining the world’s most trusted patent data with sophisticated analytics, AI-powered insights, and purpose-built workflows.

Protégé in PatentSight is LNIP’s next-generation agentic AI assistant, purpose-built for strategic patent analysis. Protégé replaces complex filter-based workflows with natural language questions, surfacing structured, decision-ready insights grounded in trusted data and established metrics.

About the role :

As an AI Architect, you will be the technical authority for the AI systems that power Protégé within PatentSight+. You will work across the full stack, from the agentic layer down, ensuring every layer is coherent, scalable, secure, and aligned with RELX Responsible AI standards.

This is a senior individual-contributor role with broad influence. You will partner closely with Engineering Leads, Product Managers, Data Scientists, and data teams within LNIP.

Key Responsibilities:

Define and own the AI architecture vision for Protégé in PatentSight+, ensuring technical decisions are coherent, future-proof, and aligned with product strategy.

Evaluate and recommend AI technologies, modelling approaches, and platform components.

Stay up to date with advances in agentic AI and domain-specific AI research. Translate emerging capabilities into practical architectural recommendations.

Author and maintain Architecture Decision Records (ADRs) and system design documentation, providing a clear and durable record of technical choices and their rationale.

Architect the agentic reasoning systems that enable Protégé to decompose complex patent questions, plan multi-step analyses, and compose insights from multiple data sources.

Design retrieval and search architectures that deliver accurate, low-latency patent intelligence across both structured analytics and unstructured text corpora.

Define patterns for AI-driven enrichment and classification of patent data at scale, ensuring results are dependable, auditable, and consistent with established IP metrics.

Establish prompt engineering standards, evaluation harnesses, and quality frameworks to govern LLM behaviour and maintain output accuracy in production.

Partner with Product Management to assess technical feasibility and shape the AI roadmap, translating product goals into deliverable system designs.

Collaborate with Security and Platform teams to ensure AI systems meet enterprise requirements for access control, data privacy, and regulatory compliance.

Ensure all AI systems comply with RELX Responsible AI Principles.

Lead AI risk assessment activities, contributing to compliance with applicable regulatory frameworks.

Communicate complex architectural decisions clearly to senior leadership, engineering teams, and non-technical stakeholders.

Requirements:

Essential -

Strong professional software engineering expertise, with experience in a dedicated AI/ML architecture, principal engineer, or distinguished engineer role.

Proven track record delivering production LLM-based systems, including RAG pipelines, agentic/tool-use frameworks, and multi-step reasoning workflows.

Strong proficiency in Python for AI service development; working knowledge of C# or equivalent compiled language for enterprise microservice integration.

Hands-on experience with vector databases and semantic search pipeline design.

Experience with Model Context Protocol (MCP).

Experience with large-scale data platforms such as Databricks and search engines such as Elasticsearch, in an analytical or AI feature engineering context.

Demonstrated ability to design enterprise-grade AI systems with strong non-functional requirements: security, privacy, reliability, cost governance, and observability.

Experience communicating complex architectural decisions through written documents, diagrams, and presentations to diverse audiences.

Desirable-

Background in the intellectual property, legal technology, or scientific information domain; familiarity with patent data structures and classification systems.

Knowledge of Responsible AI Principles.

Advanced degree in Computer Science, Artificial Intelligence, Data Science, or a related field.

Experience designing event-driven, cloud-native architectures using Kafka (or equivalent streaming platforms), including topic design, schema governance, and consumer patterns.

Why Join Us?

Join our team and contribute to a culture of innovation, collaboration, and excellence. If you are ready to advance your career and make a significant impact, we encourage you to apply.

Work in a way that works for you

We promote a healthy work/life balance across the organization. We offer an appealing working prospect for our people. With numerous wellbeing initiatives, shared parental leave, study assistance and sabbaticals, we will help you meet your immediate responsibilities and your long-term goals.

Working flexible hours - flexing the times when you work in the day to help you fit everything in and work when you are the most productive.

Working for you

We know that your well-being and happiness are key to a long and successful career. These are some of the benefits we are delighted to offer:

Generous holiday allowance with the option to buy additional days.

Health screening, eye care vouchers, and private medical benefits

Wellbeing programs

Life assurance

Access to a competitive contributory pension scheme

Save As You Earn share option scheme.

Travel Season ticket loan.

Electric Vehicle Scheme

Optional Dental Insurance

Maternity, paternity, and shared parental leave

Employee Assistance Programme

Access to emergency care for both the elderly and children

RECARES days, giving you time to support the charities and causes that matter to you.

Access to employee resource groups with dedicated time to volunteer.

Access to extensive learning and development resources

Access to employee discounts scheme via Perks at Work

About the Business

At LexisNexis Intellectual Property (LNIP), we believe that whenever a person works on a patent and understands the future trajectory of a specific technology, that person has the potential to fundamentally change how society operates. We are proud to directly support and serve these innovators in their endeavors to better humankind. We enable innovators to accomplish more by helping them make informed decisions, be more productive, comply with regulations, and ultimately achieve superior results. By harnessing the latest advances in machine learning combined with expert analysis, LexisNexis Intellectual Property is disrupting how actionable insight is extracted from patent data. Information can now be accessed with efficiency, accuracy and at a speed that is just not possible by traditional methods. Our overall success is measured by how well we deliver these results.

We know your well-being and happiness are key to a long and successful career. We are delighted to offer country specific benefits. Click
here
to access benefits specific to your location.

We are committed to providing a fair and accessible hiring process. If you have a disability or other need that requires accommodation or adjustment, please let us know by completing our Applicant Request Support Form or please contact 1-855-833-5120.

Criminals may pose as recruiters asking for money or personal information. We never request money or banking details from job applicants. Learn more about spotting and avoiding scams
here
.

Please read our Candidate Privacy Policy .

We are an equal opportunity employer: qualified applicants are considered for and treated during employment without regard to race, color, creed, religion, sex, national origin, citizenship status, disability status, protected veteran status, age, marital status, sexual orientation, gender identity, genetic information, or any other characteristic protected by law.

USA Job Seekers:

EEO Know Your Rights .",medium match
RemoteJobsOne,AI Engineer,"London, UK",https://www.adzuna.co.uk/jobs/details/5894631409?utm_medium=api&utm_source=dc96cb17,adzuna-api,2026-09-23,2026-09-23,"This is a fully remote position , open to candidates based in United Kingdom.
Pay: $60–$120/hr
Job Title: AI Engineer
Job Type: Contractor (~15 hrs a week)
Location: Remote
Schedule: Flexible, you pick the hours and days (including weekends if desired)
Job Summary: In this role, you'll apply your expertise to help train next-generation AI systems. Your work will shape how models learn, reason, and perform through high-quality, real-world input. No prior experience in AI is required — your domain knowledge is what matters.
As an expert you will be creating Reinforcement Learning Environments which test an AI model’s ability to solve complex software engineering problems using Model Context Protocol (MCP) tools. Tasks may involve fixing bugs, implementing features, refactoring code, or optimizing performance while requiring agents to discover and reason over information from real MCP servers. You will design reproducible environments, deterministic verification, and golden reference solutions that accurately measure both MCP tool use and software engineering ability.
Required Skills and Qualifications:

- Proficiency in C++, Python, JAVA, GoLang, Typescript, or Rust.
- Deep understanding of algorithms, data structures, and performance tuning.
- Demonstrated experience in debugging complex software issues and delivering maintainable solutions.
- Strong background in feature development and codebase refactoring.
- Proven ability to optimize software for performance and scalability.
- Exceptional written and verbal communication skills, with a keen attention to detail.
- Track record of success in collaborative, cross-functional teams, ideally in remote settings.
Preferred Qualifications:

- Previous experience working on large-scale, distributed codebases.
- Familiarity with modern AI or machine learning systems is a plus, though not required.
- Background in participating in rigorous code reviews and contributing to the development of software best practices.
Process:

- Apply to the role, filling out the screening questions
- Complete AI Interview (approx. 30 minutes)
- Technical Assessment (Tentative)
- Hiring Manager review
Compensation Structure
Compensation is output-based; experts are paid per task that meets the project specifications. The time required to complete work may vary depending on the expert’s experience and workflow. Minimum submission requirements apply. Experts must submit a minimum of tasks per week.
Start Timeline & Availability
We typically fill roles within 48 hours and are looking for experts ready to jump in right away. If selected, we expect you to start your first tasks within 24–48 hours of completing onboarding.
How to apply
Apply here with your Indeed profile. We will then email you a link to complete your application on the hiring platform — your application is only considered once that final step is done.",top match
