Company,Title,Location,URL,Source,Posted,First seen,Description
DCV Technologies,AI Engineer,"Farringdon, Central London",https://www.adzuna.co.uk/jobs/land/ad/5895176057?se=mO-Kime38RGEFfcsPVkEmw&utm_medium=api&utm_source=dc96cb17&v=890C14792B74ED0D596E90FCA060F6ABC6720D92,adzuna-api,2026-09-23,2026-09-23,"Position: AI Engineer (Building solutions with GitHub Copilot / Claude Code Experience)
Location: London, UK (Hybrid-3 days a week from office)
12 months contract position The Role We are seeking a highly skilled AI Engineer with hands-on experience in building AI-powered software solutions using GitHub Copilot, Claude Code, and modern Large Language Models (LLMs). The ideal candidate will leverage AI-assisted development tools to accelerate software delivery, automate engineering workflows, and build intelligent applications utilizing agentic AI frameworks, code generation, and enterprise AI platforms. The candidate should possess strong software engineering fundamentals along with expertise in integrating AI models into real-world applications and driving developer productivity through AI-assisted coding solutions. Your responsibilities: Design, develop, and deploy AI-powered applications using LLMs and Generative AI technologies. Build engineering solutions leveraging GitHub Copilot, Claude Code, OpenAI, Azure OpenAI, Anthropic Claude, and related AI platforms. Develop AI agents, copilots, and workflow automation solutions for enterprise use cases. Create retrieval-augmented generation (RAG) solutions using vector databases and knowledge repositories. Design and implement prompt engineering frameworks and evaluation mechanisms. Integrate AI services with enterprise applications using APIs, microservices, and cloud-native architectures. Build automated coding assistants, developer productivity tools, and intelligent software engineering workflows. Collaborate with business and technical stakeholders to identify AI-driven opportunities and translate them into scalable solutions. Establish best practices for AI governance, security, model monitoring, and responsible AI implementation. Mentor development teams on effective usage of AI-assisted development tools. Your Profile Essential skills/knowledge/experience: AI & Generative AI Strong experience with Large Language Models (LLMs) and Generative AI. * Hands-on experience with: * GitHub Copilot * Claude Code * OpenAI GPT Models * Azure OpenAI Services * Anthropic Claude APIs * Prompt Engineering and Prompt Optimization. * Agentic AI frameworks such as: * Lang Chain * Lang Graph * CrewAI * AutoGen * Semantic Kernel Software Development * Strong programming expertise in: * Python * JavaScript/TypeScript * C# or Java * Experience building RESTful APIs and microservices. * Knowledge of software design patterns and scalable application architecture. AI Application Development * Retrieval-Augmented Generation (RAG) * Vector databases: * Pinecone * ChromaDB * Weaviate * Azure AI Search * Embedding models and semantic search. * Model evaluation and observability. Desirable skills/knowledge/experience: Azure, AWS, or Google Cloud Platform. CI/CD pipelines using GitHub Actions, Azure DevOps, or Jenkins. Docker and Kubernetes. Infrastructure as Code (Terraform preferred)"
Emponics,AI Deployment Engineer,"Monument, Central London",https://www.adzuna.co.uk/jobs/land/ad/5894917693?se=mO-Kime38RGEFfcsPVkEmw&utm_medium=api&utm_source=dc96cb17&v=D929D320332AAA099E72E506E0F21CB37F94AD42,adzuna-api,2026-09-23,2026-09-23,"Our client is a Global FinTech with offices around the world inc Bristol and London in the UK .This AI Deployment Engineer role can be based out of Bristol or London offices.Ideally 3 days per week in the office but could be a little bit more flexible for the ideal candidate.

- AI Deployment Engineer
- Location: Bristol/London - Hybrid, 3 days in the office
- Salary: to £130,000 p/a dependent on experience + excellent benefits

You will be the deep technical engine behind their internal AI deployment team. Where the AI Deployment Strategist scopes and builds agents, you own the infrastructure underneath data pipelines, system integrations, and everything that ensures deployed AI solutions work reliably at scale.

You will take prototypes to production, ensure all business systems communicate correctly, and build the technical backbone that our AI tooling depends on.
Job Responsibilities
Own the data infrastructure underpinning AI deployments pipelines, storage, and data serving
Integrate AI solutions into the existing business ecosystem: CRMs, ERPs, SaaS tools, and internal systems
Build and maintain APIs, webhooks, and middleware that allow AI agents to interact with business systems
Take Strategist-built prototypes to production-grade hardening, scaling, and ensuring reliability
Set up monitoring, logging, and alerting across deployed pipelines and agent infrastructure
Manage data models, schemas, and storage supporting current and future AI deployments
Troubleshoot integration failures, data inconsistencies, and production issues
Key Skills
Python & SQL (production-grade pipeline development)
REST APIs, webhooks, OAuth, event-driven architecture
Orchestration tools: Airflow, Prefect, or Dagster
Cloud platforms: AWS, GCP, or Azure
Docker & Kubernetes Microsoft 365 & Microsoft Copilot
Desirable Skills
Vector databases and embedding pipelines
Real-time streaming (Kafka, Flink)
RPA tooling (UiPath, Power Automate) dbt for data transformation
Claude Code, Claude Cowork, or Claude Skills
Experience with vector databases, real-time streaming (Kafka, Flink), or RPA tooling (UiPath, Power Automate).
Experience
35 years in software or data engineering with strong exposure to system integrations, data pipelines, and production infrastructure.
Strong Python and SQL skills; experienced building robust, production-grade data pipelines from scratch.
Deep familiarity with integration patterns: REST APIs, webhooks, OAuth, and event-driven architectures.
Experience with orchestration tools (Airflow, Prefect, or Dagster) and transformation frameworks (dbt or similar).
Comfortable across cloud platforms (AWS, GCP, or Azure) and with containerisation (Docker, Kubernetes).
Experience connecting disparate business systems SaaS platforms, internal databases, and third-party APIs and making them work reliably.
Strong debugging instincts and a high bar for reliability and data integrity.
Comfortable with Microsoft 365 and Microsoft Copilot. Familiarity with AI productivity tools including Claude Code, Claude Cowork, and Claude Skills is a plus.
Qualifications
Bachelor's degree in Computer Science, Engineering, or equivalent practical experience"
Faculty AI,Lead Machine Learning Engineer,"London, UK",https://www.adzuna.co.uk/jobs/details/5895231407?utm_medium=api&utm_source=dc96cb17,adzuna-api,2026-09-23,2026-09-23,"Why Faculty? We established Faculty in 2014 because we thought that AI would be the most important technology of our time. Since then, we’ve worked with over 350 global customers to transform their performance through human-centric AI. You can read about our real-world impact here . We don’t chase hype cycles. We innovate, build and deploy responsible AI which moves the needle - and we know a thing or two about doing it well. We bring an unparalleled depth of technical, product and delivery exp…"
Google,"Forward Deployed Engineer III, Applied AI","Zürich, Switzerland · London, UK",https://www.google.com/about/careers/applications/jobs/results/106113082882695878-forward-deployed-engineer-iii-applied-ai,google-api,2026-09-23,2026-09-23,"Minimum qualifications: Bachelor’s degree or equivalent practical experience. 2 years of experience with software development in one or more programming languages (e.g., Python or C++). 2 years of experience with GenAI techniques (e.g., LLMs, Multi-Modal, Large Vision Models) or with GenAI-related concepts (language modeling, computer vision). 1 year of experience with AI/ML infrastructure (e.g., model deployment, model evaluation, model optimization, data processing, or debugging). Experience developing and deploying multilingual natural language processing models. Preferred qualifications: Master's degree or PhD in Computer Science, AI, Machine Learning, or a related technical field. Expertise in debugging Agent logic (ReAct loops, Chain of Thought) and optimizing tool selection. Experience implementing multi-agent systems using frameworks (e.g., LangGraph, CrewAI, or Google’s Agent Development Kit (ADK)) and complex patterns like ReAct, self-reflection, and hierarchical delegation. Experience connecting agents to enterprise knowledge bases and optimizing RAG chunking to prevent hallucinations. Bachelor’s degree or equivalent practical experience. 2 years of experience with software development in one or more programming languages (e.g., Python or C++). 2 years of experience with GenAI techniques (e.g., LLMs, Multi-Modal, Large Vision Models) or with GenAI-related concepts (language modeling, computer vision). 1 year of experience with AI/ML infrastructure (e.g., model deployment, model evaluation, model optimization, data processing, or debugging). Experience developing and deploying multilingual natural language processing models. Serve as the delivery lead for conversational AI pilots, taking initial proof-of-value code and refactoring it for production by replacing stubs with secure, real-world integrations. Own the delivery of the initial Customer User Journeys (CUJs), ensuring that conversational flows are not just functional, but optimized for (top customer/industry priorities). Architect and optimize complex agentic workloads, focusing on reasoning loops, tool selection, and reducing latency while maintaining production-grade security and networking. Implement critical infrastructure, including rate limiting, error management, and regional failover strategies; develop monitoring systems and alerting dashboards during ""Go-Live"" windows to ensure stability as traffic scales. Architect security perimeters (VPC, IAM, CMEK) to satisfy CISO requirements and optimize RAG strategies to balance latency, accuracy, and cost. Google's software engineers develop the next-generation technologies that change how billions of users connect, explore, and interact with information and one another. Our products need to handle information at massive scale, and extend well beyond web search. We're looking for engineers who bring fresh ideas from all areas, including information retrieval, distributed computing, large-scale system design, networking and data storage, security, artificial intelligence, natural language processing, UI design and mobile; the list goes on and is growing every day. As a software engineer, you will work on a specific project critical to Google’s needs with opportunities to switch teams and projects as you and our fast-paced business grow and evolve. We need our engineers to be versatile, display leadership qualities and be enthusiastic to take on new problems across the full-stack as we continue to push technology forward. As a Forward Deployed Engineer (FDE) in Applied AI, you are the ""Agent Engineer"" and the primary delivery arm for our customers' most critical AI initiatives. You will take initial conversational prototypes and transform them into production-ready solutions, owning the end-to-end engineering life-cycle. The Cloud Applied AI (AAI) powers business growth with Gemini Enterprise. Our portfolio includes Gemini Enterprise for Customer Experience (Shopping Agent, CX Agent Studio, Agent Assist, Vertex AI Search - Commerce, Customer Experience Insights), along with other vertical and domain packaged solutions. We enable high adoption and speed to value by building solutions that are quickly deployed, delivering new 0-to-1 capabilities with startup agility. Team members operate at the forefront of AI, collaborating directly with model builders with unprecedented speed. Join us to work on cutting-edge projects and shape the future of AI in a fast-paced, collaborative, and impactful environment."
Hackajob Ltd,Data Scientist,"Norton, Sheffield",https://www.adzuna.co.uk/jobs/land/ad/5894413751?se=CN_TjGe38RG0s7xl9OR6fQ&utm_medium=api&utm_source=dc96cb17&v=95FFC76B71EE82F1DB83AE2E90354ECFA0C80BE3,adzuna-api,2026-09-23,2026-09-23,"hackajob is partnering directly with HSBC to hire for this role. If youre looking for a career that will help you stand out, join HSBC, and fulfil your potential - whether you want a career that could take you to the top, or an exciting new direction, we offer opportunities, support and rewards that will take you further. Were one of the largest banking and financial services organisations in the world, with a network that covers more than 50 countries and territories. We aim to be where the gr…"
Hackajob Ltd,Data Scientist,"Sheffield, South Yorkshire",https://www.adzuna.co.uk/jobs/details/5894793984?utm_medium=api&utm_source=dc96cb17,adzuna-api,2026-09-23,2026-09-23,"hackajob is partnering directly with HSBC to hire for this role. If youre looking for a career that will help you stand out, join HSBC, and fulfil your potential - whether you want a career that could take you to the top, or an exciting new direction, we offer opportunities, support and rewards that will take you further. Were one of the largest banking and financial services organisations in the world, with a network that covers more than 50 countries and territories. We aim to be where the gr…"
Intec Select Ltd,Agentic Forward Deployed Engineer,"London, UK",https://www.adzuna.co.uk/jobs/land/ad/5895161683?se=kJ45j2e38RGEFfcsPVkEmw&utm_medium=api&utm_source=dc96cb17&v=986511B8347A1CE2AF243A2FD9F450A020171C20,adzuna-api,2026-09-23,2026-09-23,"Agentic Forward Deployed Engineer £550 to £650 per day outside IR 35 | 12 month contract Hybrid – Stratford, London | 2 Days Onsite per Week We are partnering with a large global education technology organisation operating across 100 countries, generating more than £600m in annual revenue and engaging with over 2.5 million users globally. The organisation is investing heavily in its next generation of AI-native, in-house products and is looking for an experienced Agentic Forward Deployed Engine…"
Intec Select Ltd,Agentic Forward Deployed Engineer,"London, UK",https://www.adzuna.co.uk/jobs/land/ad/5895161683?se=fCFpkWe38RG0s7xl9OR6fQ&utm_medium=api&utm_source=dc96cb17&v=986511B8347A1CE2AF243A2FD9F450A020171C20,adzuna-api,2026-09-23,2026-09-23,"Agentic Forward Deployed Engineer £550 to £650 per day outside IR 35 | 12 month contract Hybrid – Stratford, London | 2 Days Onsite per Week We are partnering with a large global education technology organisation operating across 100 countries, generating more than £600m in annual revenue and engaging with over 2.5 million users globally. The organisation is investing heavily in its next generation of AI-native, in-house products and is looking for an experienced Agentic Forward Deployed Engine…"
Lynx Recruitment Limited,Senior AI Engineering Consultant,"Manchester, Greater Manchester",https://www.adzuna.co.uk/jobs/land/ad/5894908137?se=UrmKiWe38RGSw_idrygsNg&utm_medium=api&utm_source=dc96cb17&v=690FAF4A49A9B0859C399957C8F7FCD42E147DA3,adzuna-api,2026-09-23,2026-09-23,"We're supporting a leading technology consultancy that is expanding its AI practice and is looking for a Senior AI Engineering Consultant to help deliver innovative AI-powered solutions for enterprise clients.
This is an opportunity to work at the forefront of Generative AI, partnering with organisations to design, build and deploy cutting-edge solutions across Azure, AWS and GCP.
We're looking for someone with a genuine passion for AI who combines strong consulting experience with a software engineering background and the ability to turn technical innovation into real business value.
The Role You'll work closely with clients to define AI strategies, build proof-of-concepts, develop scalable solutions and lead technical delivery across a range of AI and cloud projects.
Responsibilities will include:

- Designing and delivering Generative AI and Machine Learning solutions
- Building applications using LLMs, RAG frameworks and AI orchestration tools
- Working directly with clients to understand business challenges and define AI-driven solutions
- Leading architecture and engineering decisions across Azure, AWS and GCP
- Developing scalable, production-ready software solutions
- Implementing engineering best practices including CI/CD, testing and deployment automation
- Evaluating emerging AI technologies and identifying opportunities for innovation
- Mentoring engineers and providing technical leadership across project teams
- Supporting workshops, discovery sessions and technical pre-sales activities
What We're Looking ForEssential Requirements
- Proven experience working within an IT Consultancy, Technology Consultancy or Professional Services environment
- Strong hands-on experience with Generative AI and modern AI technologies
- Commercial experience building AI-powered applications and deploying them into production
- Software Engineering or Product Engineering background
- Strong Python development skills
- Experience working with LLMs, RAG architectures and modern AI frameworks
- Multi-cloud experience across Azure, AWS and GCP
- Strong understanding of cloud-native architectures and scalable application design
- Experience with CI/CD, Infrastructure as Code and automated deployment pipelines
- Excellent communication and stakeholder management skills
- Ability to engage with both technical and non-technical audiences
Education
- Degree in Computer Science, Software Engineering, Information Technology, Artificial Intelligence, Data Science, or a related technology discipline
- Minimum 2:1 degree classification (or equivalent)
Desirable
- Azure OpenAI, AWS Bedrock and Google Gemini experience
- MLOps, Data Engineering or Platform Engineering experience
- Experience leading technical teams
- Knowledge of Agentic AI, AI Agents and emerging AI frameworks
What's On Offer?
- Opportunity to work on high-profile AI transformation projects
- Exposure to the latest AI technologies and enterprise-scale environments
- Career progression into technical leadership and AI consulting roles
- Collaborative and innovation-focused culture
- Flexible hybrid working model
If you're passionate about AI, enjoy solving complex business problems and have a strong foundation in software engineering and cloud technologies, we'd love to hear from you.
Apply now or contact Paul Clarke at Lynx Recruitment for a confidential discussion."
Lynx Recruitment Limited,Senior AI Engineering Consultant,UK,https://www.adzuna.co.uk/jobs/land/ad/5895020072?se=mO-Kime38RGEFfcsPVkEmw&utm_medium=api&utm_source=dc96cb17&v=180BD914E1C88E0000C73B3F7FF27991D85D8504,adzuna-api,2026-09-23,2026-09-23,"We're supporting a leading technology consultancy that is expanding its AI practice and is looking for a Senior AI Engineering Consultant to help deliver innovative AI-powered solutions for enterprise clients. This is an opportunity to work at the forefront of Generative AI, partnering with organisations to design, build and deploy cutting-edge solutions across Azure, AWS and GCP. We're looking for"
